time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
1850-01-01,14650984.0,14337192.0,15960312.0,16102830.0,17956630.0,15640208.0,13507111.0,13685400.0,13520020.0,13863729.0,12706533.0,14517836.0,16501471.0,18606444.0,16050784.0,17179690.0,14168019.0,13887665.0,15043323.0,11524450.0,13152592.0,13438019.0,13521966.0,13937643.0,13535363.0
1850-02-01,15677415.0,15418173.0,16821420.0,16999916.0,18887444.0,16739988.0,14110390.0,14123274.0,14191013.0,14567366.0,13761908.0,15283780.0,16876684.0,19615104.0,17028526.0,18037772.0,15021272.0,14782452.0,16224081.0,12195885.0,13733298.0,14271312.0,14704384.0,14860220.0,14152180.0
1850-03-01,16005211.0,15511048.0,17108652.0,17288220.0,19161304.0,16880690.0,14259996.0,14414400.0,14415798.0,14809759.0,13703414.0,15431152.0,17300144.0,19682362.0,17244220.0,17886064.0,14880280.0,14738448.0,16223466.0,12442104.0,14333291.0,14443768.0,15051266.0,15092697.0,14117614.0
1850-04-01,15622305.0,14849104.0,16275248.0,16863622.0,17903192.0,16419590.0,13922262.0,13647930.0,14135471.0,14279246.0,13242484.0,14766328.0,16480496.0,19097472.0,16242042.0,17028168.0,14197250.0,13797716.0,15302492.0,12153352.0,14009534.0,13866210.0,14525612.0,14446580.0,13053180.0
1850-05-01,13896866.0,13179298.0,13931044.0,14750654.0,14642496.0,14425769.0,12664796.0,12001286.0,12483512.0,12982662.0,11706535.0,12942095.0,14896639.0,16902674.0,13831464.0,14746828.0,12394857.0,11822010.0,12854318.0,11077474.0,12430296.0,12314024.0,12707951.0,12488766.0,11532516.0
1850-06-01,11333448.0,10476512.0,11515636.0,12029552.0,11900225.0,11912352.0,10586258.0,10313142.0,10457243.0,10990114.0,9141770.0,10107494.0,12145386.0,13332790.0,11486461.0,11818292.0,10146854.0,9479626.0,9950798.0,9428997.0,10009158.0,10113550.0,10105571.0,9702192.0,9773226.0
1850-07-01,8137773.0,7869567.5,9149847.0,8922420.0,8887156.0,9400140.0,8015002.0,8484482.0,8167417.0,8686705.0,5908090.0,6902209.0,9615759.0,10245574.0,8903736.0,9186870.0,7767964.0,7725465.0,8003947.5,7424217.5,6950698.5,7060817.5,7545801.0,6955801.0,7475921.0
1850-08-01,5555339.5,6009444.0,7431604.5,6044913.5,6948047.5,7724761.5,6045086.5,6895866.0,6446371.0,6795354.0,1502127.1,5083894.5,8047024.5,8460147.0,6952641.0,7626037.5,5360321.5,6162133.5,6694911.5,6136939.5,5287681.0,5216123.0,6124561.0,4912110.0,5573093.0
1850-09-01,5626156.0,5642701.0,8085601.5,5599111.5,7455194.0,7947999.0,5787417.0,6750859.0,6207135.0,6194512.5,583437.3,6203459.5,9262016.0,8878028.0,6576909.0,8248672.5,5195964.0,6125852.0,6724933.5,6487767.0,5193378.0,5055509.0,6109132.5,4615760.0,5195222.5
1850-10-01,8067821.5,6696544.5,10198634.0,8581634.0,9704144.0,9963253.0,7904070.5,8541619.0,7911345.5,8166718.0,2905156.0,8155654.5,11754878.0,11029986.0,9022264.0,11044675.0,7498358.0,8415606.0,8744102.0,8238266.0,6714247.0,6695277.0,7508204.5,6330205.5,7935339.0
