time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,CMCC-CM2-HR4,CMCC-CM2-SR5,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-LM,SAM0-UNICON
1850-01-01,14360240.0,13457716.0,16097896.0,16802056.0,17576776.0,14550249.0,13547086.0,13760965.0,13688188.0,14210922.0,11716551.0,12938600.0,12124214.0,18177752.0,18423954.0,16729644.0,17173632.0,13334561.0,15397087.0,11362574.0,13117072.0,13755316.0,14447423.0,13860890.0,14088892.0,14144803.0,14813354.0
1850-02-01,15281235.0,14722373.0,16985936.0,18009074.0,19028808.0,15670126.0,14335662.0,14209130.0,14102424.0,14715774.0,13176329.0,13534498.0,13020886.0,19250762.0,19000772.0,17516276.0,18422700.0,14076882.0,16789690.0,11820062.0,13845349.0,14027688.0,15411666.0,14934191.0,14469271.0,14478758.0,15507712.0
1850-03-01,15842692.0,15127807.0,17373376.0,18554690.0,19139794.0,15848560.0,14726431.0,14611516.0,14379152.0,14646940.0,13231140.0,13583027.0,13053524.0,19876140.0,19118552.0,17629036.0,18562284.0,14270909.0,16678749.0,12032821.0,14094798.0,14464465.0,15690824.0,15169263.0,14748364.0,14366575.0,15750076.0
1850-04-01,15233435.0,14531400.0,16811230.0,17723876.0,17738096.0,15071427.0,14247329.0,14280625.0,14256235.0,14509631.0,12924729.0,12757454.0,12261930.0,18936374.0,17871600.0,16545032.0,17398080.0,13668474.0,15664985.0,11795844.0,13434156.0,13865459.0,14638568.0,14281004.0,14312141.0,13946235.0,14918893.0
1850-05-01,13534406.0,12930198.0,14641344.0,15487308.0,15176936.0,13393489.0,12705245.0,12839067.0,12801426.0,13103408.0,11274357.0,10900238.0,10401434.0,16794464.0,15823251.0,14350639.0,15063509.0,11788157.0,13053456.0,10685100.0,12110467.0,12429346.0,12482128.0,12515517.0,12849529.0,12318432.0,13293026.0
1850-06-01,10919244.0,10162418.0,11730783.0,12276910.0,12696896.0,10683006.0,10767033.0,10851494.0,10560425.0,10998866.0,8636592.0,9145614.0,8242919.0,13362836.0,12837784.0,11922411.0,12681522.0,9834105.0,10577687.0,8902096.0,9911019.0,9957027.0,10000781.0,9515424.0,11199896.0,10271858.0,11447663.0
1850-07-01,7852715.5,7643759.0,8323969.5,9292974.0,10027958.0,7531627.5,8107666.0,8524947.0,8331374.0,8904941.0,3562849.8,7420934.0,4032028.2,10276260.0,9932528.0,8793443.0,9726464.0,6931244.0,8668905.0,7167431.0,7153052.0,6818786.0,7298053.0,6857314.5,9301519.0,8088839.5,9351858.0
1850-08-01,5584922.5,5850814.0,6306065.0,7172108.5,7940206.0,5602764.0,6055778.0,6913016.0,6733844.0,7370406.0,432172.3,6146102.0,736787.8,8961951.0,8602778.0,6629981.0,7927021.5,4384787.0,6682393.0,6079217.0,5508380.5,5115420.0,5663304.0,5095763.0,7994277.5,6554733.0,7638186.5
1850-09-01,5637268.0,5392644.0,6198767.0,7429485.0,8012477.5,5821827.5,5598796.5,6599690.0,6304395.0,7067375.5,277976.06,6344029.0,468071.56,10367882.0,9389604.0,6346386.5,9055402.0,4220519.5,6712934.0,6352318.0,5399871.0,4994812.5,5439925.0,4933750.0,8078188.5,6589826.0,7660845.0
1850-10-01,7696977.0,6590167.5,8567439.0,9130802.0,10119820.0,7672241.0,7258322.0,8638919.0,8186652.5,8471028.0,1098621.2,8583052.0,1920036.0,12030930.0,11295284.0,8967898.0,11303844.0,6040938.0,8734961.0,8004209.0,6856688.0,6750273.0,7136745.0,6633332.0,9551893.0,8804190.0,9755746.0
