time,ACCESS-CM2,ACCESS-ESM1-5,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM-FV2,CIESM,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0
1850-01-01,14650985.0,14337191.0,15640208.0,13507110.0,13685400.0,13863729.0,12706534.0,14517836.0,16501470.0,18606444.0,16050784.0,17179688.0,13887665.0,15043324.0,11524450.0,13152592.0,13438018.0,13521967.0,13937643.0
1850-02-01,15677414.0,15418173.0,16739988.0,14110391.0,14123275.0,14567367.0,13761908.0,15283780.0,16876684.0,19615104.0,17028524.0,18037772.0,14782452.0,16224081.0,12195886.0,13733299.0,14271313.0,14704384.0,14860220.0
1850-03-01,16005212.0,15511048.0,16880690.0,14259995.0,14414400.0,14809760.0,13703414.0,15431153.0,17300144.0,19682362.0,17244220.0,17886064.0,14738449.0,16223466.0,12442104.0,14333291.0,14443770.0,15051267.0,15092697.0
1850-04-01,15622305.0,14849104.0,16419591.0,13922262.0,13647930.0,14279247.0,13242485.0,14766329.0,16480497.0,19097470.0,16242042.0,17028168.0,13797717.0,15302491.0,12153352.0,14009534.0,13866209.0,14525611.0,14446580.0
1850-05-01,13896866.0,13179297.0,14425769.0,12664796.0,12001285.0,12982660.0,11706534.0,12942096.0,14896640.0,16902672.0,13831464.0,14746828.0,11822010.0,12854318.0,11077473.0,12430297.0,12314024.0,12707952.0,12488766.0
1850-06-01,11333449.0,10476511.0,11912352.0,10586258.0,10313142.0,10990114.0,9141770.0,10107493.0,12145386.0,13332789.0,11486461.0,11818291.0,9479626.0,9950798.0,9428996.0,10009157.0,10113550.0,10105570.0,9702192.0
1850-07-01,8137773.5,7869568.0,9400140.0,8015002.0,8484482.0,8686705.0,5908089.5,6902209.0,9615759.0,10245574.0,8903736.0,9186870.0,7725465.5,8003947.5,7424217.0,6950698.0,7060818.0,7545801.5,6955801.5
1850-08-01,5555339.5,6009443.5,7724762.0,6045086.5,6895866.0,6795354.0,1502127.0,5083894.5,8047024.0,8460148.0,6952641.0,7626037.5,6162133.0,6694912.0,6136939.5,5287681.0,5216123.5,6124561.0,4912110.0
1850-09-01,5626156.0,5642701.5,7947998.5,5787417.5,6750858.5,6194512.5,583437.3,6203459.5,9262016.0,8878028.0,6576909.0,8248672.0,6125852.0,6724934.0,6487767.0,5193378.5,5055509.5,6109132.5,4615760.0
1850-10-01,8067822.0,6696544.0,9963252.0,7904071.0,8541620.0,8166718.0,2905155.5,8155654.5,11754877.0,11029985.0,9022264.0,11044675.0,8415605.0,8744102.0,8238265.5,6714247.0,6695277.5,7508205.0,6330205.5
1850-11-01,10548927.0,8684627.0,12198334.0,9896117.0,10374036.0,10538308.0,6925143.5,10844900.0,13146561.0,13635884.0,10991636.0,12634346.0,10525918.0,10682796.0,9541943.0,9172487.0,9605676.0,9657222.0,9349695.0
1850-12-01,12767280.0,11229237.0,14462243.0,12335556.0,12317666.0,12558075.0,10103617.0,12788348.0,14811771.0,16385129.0,13807226.0,14806431.0,12537388.0,13281231.0,10637456.0,11609173.0,11788747.0,11778923.0,11971550.0
1851-01-01,14917114.0,13592490.0,16341192.0,13905096.0,13623045.0,14209562.0,12586048.0,14299325.0,16269990.0,18451080.0,15913422.0,16320798.0,13883373.0,15647038.0,11530682.0,13363342.0,13292589.0,13471086.0,13338350.0
1851-02-01,16027517.0,14893265.0,17128860.0,14378919.0,14272018.0,14617980.0,13620438.0,15216606.0,16993068.0,19071076.0,16886830.0,17238320.0,14342464.0,16440495.0,12142804.0,14391703.0,13965938.0,14347012.0,14286622.0
1851-03-01,16479335.0,14966552.0,17233482.0,14586741.0,14280763.0,14737054.0,13797862.0,15406092.0,16986544.0,19153112.0,17114826.0,17282884.0,14313109.0,16395783.0,12426703.0,14978308.0,14229958.0,14869500.0,14549085.0
