time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
1850-01-01,14373226.0,13355526.0,16529232.0,16470880.0,15132106.0,14138974.0,14486158.0,13671247.0,13897398.0,12613334.0,15348758.0,17582952.0,18763570.0,16127136.0,16390311.0,13523534.0,12727392.0,15530046.0,11747158.0,13791634.0,13674450.0,13480814.0,13990418.0
1850-02-01,15346703.0,14465203.0,17384264.0,17597136.0,15710518.0,14837514.0,15428769.0,14351726.0,14467846.0,13405980.0,16300787.0,18093184.0,19805296.0,17243706.0,17260104.0,14336972.0,13582342.0,16815990.0,12278282.0,14982223.0,14662258.0,14446114.0,14391362.0
1850-03-01,16060587.0,14887909.0,17858978.0,17695084.0,15990056.0,14762980.0,15735866.0,14497432.0,14558242.0,13678959.0,16526770.0,18200682.0,20062088.0,17087652.0,17221110.0,14643750.0,13628336.0,17025860.0,12307581.0,15282560.0,14684362.0,14503676.0,14546646.0
1850-04-01,15536064.0,14439120.0,16640998.0,16952636.0,15869123.0,14300048.0,15294887.0,14238876.0,14166082.0,12951345.0,15637276.0,17807564.0,19277850.0,16002062.0,16155733.0,13986048.0,12937368.0,15964272.0,12169254.0,14985453.0,13993068.0,13843088.0,13786129.0
1850-05-01,13886240.0,12881698.0,14434732.0,15080690.0,13931187.0,13029638.0,13513334.0,12876965.0,12708700.0,11492818.0,13812023.0,15405526.0,16854948.0,13418157.0,14430413.0,12288466.0,11002268.0,13633579.0,11346317.0,13583796.0,12315042.0,12223812.0,12337641.0
1850-06-01,11367704.0,10489108.0,11570284.0,12748858.0,11298310.0,11171406.0,11037190.0,11103090.0,10857907.0,9115078.0,11246490.0,12079437.0,13364882.0,10897962.0,12846022.0,10234570.0,8711950.0,10573313.0,9751444.0,10775568.0,10006480.0,9556164.0,10537694.0
1850-07-01,8285991.5,7792971.5,8805514.0,9759782.0,8913400.0,8884299.0,8640399.0,8929887.0,9005359.0,5609016.5,8390971.0,9397460.0,10813906.0,8242831.5,11517031.0,7840226.5,7108360.0,8189371.0,7668676.5,7451816.5,6976638.0,7071099.5,8555053.0
1850-08-01,5960305.5,5599748.0,5924541.0,6923818.0,6896974.0,6836936.0,6471207.0,7062091.5,6964810.0,1015242.8,6636891.5,7762350.0,9352299.0,5900638.0,10134537.0,5936658.0,5507319.5,6540177.0,6419833.0,5443427.0,5340964.5,4534658.0,6768148.0
1850-09-01,6039989.0,5304467.0,5861720.0,7199794.0,6943899.5,6655736.0,5997993.5,6749623.5,6518748.0,233198.39,7253015.0,8571784.0,10026476.0,5434702.0,10326536.0,6012544.5,5115438.0,7037757.0,6694541.5,5232998.0,5025836.0,3884925.5,6421252.5
1850-10-01,7911956.0,6642066.0,8435832.0,9365099.0,8957616.0,8528418.0,8458558.0,8729368.0,8397487.0,3180520.5,10325700.0,10856601.0,11747416.0,8064029.0,11535446.0,7689365.5,7100970.0,9353766.0,8525709.0,6967823.0,6791824.0,5829616.5,8563708.0
