time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2-WACCM,CMCC-CM2-SR5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,FGOALS-g3,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
2015-01-01,13171320.0,11602498.0,14826765.0,15697260.0,18653534.0,12372186.0,12704618.0,7728076.5,12394619.0,12758660.0,14513620.0,15461434.0,12764816.0,12936731.0,10730678.0,12271099.0,11957176.0,12373810.0,12093458.0,12926769.0
2015-02-01,14219436.0,12752801.0,16117380.0,16555652.0,20115540.0,13733075.0,13511662.0,9865241.0,12928524.0,13609108.0,15581232.0,16467822.0,13568130.0,14508398.0,11637868.0,12873344.0,12818782.0,13267986.0,13083152.0,13535584.0
2015-03-01,14612507.0,13175012.0,16397126.0,16821576.0,19911764.0,13957116.0,13776436.0,10378728.0,13021196.0,13764390.0,15658065.0,16325259.0,13609998.0,14694096.0,11802522.0,13067332.0,13206550.0,13698909.0,13374936.0,13501148.0
2015-04-01,14222698.0,12707590.0,15638792.0,16314062.0,18641368.0,13077642.0,13353968.0,9450256.0,12374025.0,13115269.0,14775248.0,15473514.0,13042101.0,13648979.0,11399520.0,12296988.0,12647192.0,12853720.0,12898830.0,12511972.0
2015-05-01,12503310.0,11322664.0,13410732.0,14432630.0,15535917.0,11156280.0,11774080.0,7600379.5,10974298.0,11525449.0,12543172.0,13984580.0,11249158.0,11159576.0,10406669.0,10803522.0,11352662.0,11301378.0,11234944.0,10874020.0
2015-06-01,9925819.0,9229070.0,10381282.0,11859976.0,12483632.0,8773401.0,9647572.0,4175062.2,8554688.0,8627668.0,10153526.0,12101068.0,8502828.0,7839663.0,8266346.5,8600393.0,8311258.5,8823720.0,8758776.0,8827989.0
2015-07-01,6205199.0,6550933.5,7362593.0,8596366.0,9696704.0,5995581.0,6422643.0,342422.06,5756187.0,5499943.0,7325263.5,10386212.0,6234725.5,5591059.5,6133396.5,5631090.0,4585470.0,5835522.0,5849690.0,6740611.0
2015-08-01,3797287.5,4182440.8,4668360.5,5952779.0,7552565.5,4030591.0,3515053.0,30082.855,4091382.0,3637459.5,4608146.5,8576473.0,4288414.5,4011464.5,4478998.0,3819029.5,2600817.5,3798260.0,3222875.5,4447494.5
2015-09-01,3840735.5,3692173.0,4470365.0,5468907.5,7500215.0,4270127.0,2763488.5,5536.9546,4468700.5,3855918.0,3909688.2,8499225.0,3897770.0,4449203.0,4128649.2,3695894.5,2454086.8,3415624.5,2176848.8,4207007.0
2015-10-01,5718884.0,4920345.0,6889259.0,7809623.0,9923647.0,6341184.5,4974988.5,79106.02,6434493.0,6785412.0,7034793.5,10273770.0,6699103.0,5981623.5,6524490.0,5200552.0,4054653.0,5303108.0,3890268.2,6809179.5
2015-11-01,8599812.0,7107531.0,10292972.0,10757743.0,12644179.0,8508279.0,8804736.0,991542.75,9050466.0,9483937.0,9790462.0,11929680.0,9557666.0,8437073.0,8792230.0,7913136.0,7137760.0,8290447.0,7580819.0,9339492.0
2015-12-01,11067046.0,9876224.0,12888442.0,13329347.0,15713162.0,10690658.0,11167363.0,4412880.0,11112769.0,11538208.0,12366610.0,13911368.0,11423662.0,11475324.0,9704567.0,10376649.0,10045659.0,10045047.0,10463095.0,11505208.0
2016-01-01,13096299.0,11970342.0,15244119.0,15653192.0,17988136.0,12359051.0,12430108.0,8334112.0,12076922.0,12905398.0,14374842.0,16034525.0,12912002.0,13344610.0,10809462.0,11790861.0,12196376.0,11786715.0,12240395.0,13066733.0
2016-02-01,14415773.0,13206938.0,16272667.0,16690888.0,19167904.0,13421016.0,13354472.0,10138261.0,12651672.0,13443522.0,15403288.0,16701974.0,13535000.0,14758199.0,11488610.0,12411291.0,13091704.0,13008084.0,12919322.0,13408288.0
2016-03-01,14802894.0,13490623.0,16567093.0,17008908.0,19167818.0,13712170.0,13793928.0,10482744.0,12607252.0,13735052.0,15624592.0,16659134.0,13577852.0,14655747.0,11703090.0,12720112.0,13288532.0,13298506.0,13008681.0,13649330.0
