time,ACCESS-CM2,ACCESS-ESM1-5,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2-WACCM,EC-Earth3-Veg,FGOALS-g3,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
2015-01-01,13896292.0,11631656.0,14990059.0,16761637.0,12492931.0,12163212.0,12541648.0,15634825.0,12781496.0,10358796.0,12485176.0,12700863.0,11597646.0,12923578.0,13149034.0
2015-02-01,15035630.0,12968809.0,16152149.0,18343028.0,13715614.0,12940124.0,13418724.0,16599156.0,13780240.0,11368918.0,13293923.0,13579520.0,12655417.0,13605685.0,13920897.0
2015-03-01,15271096.0,13211259.0,16557882.0,18547700.0,13705212.0,13291721.0,13596320.0,16366006.0,13908654.0,11499502.0,13742814.0,13964556.0,13001092.0,13596288.0,13895025.0
2015-04-01,15036450.0,12525870.0,15888290.0,17359700.0,13102511.0,12794032.0,13138740.0,15421518.0,13200134.0,11178078.0,13342250.0,13644944.0,12681990.0,12965336.0,13221758.0
2015-05-01,13405486.0,10826500.0,14307983.0,14071888.0,11121012.0,11091242.0,11323446.0,13922934.0,11104384.0,10292196.0,11952114.0,12238122.0,11371190.0,11342328.0,11348342.0
2015-06-01,10665666.0,8588025.0,11429658.0,10517250.0,8460648.0,9018476.0,8218974.5,12339332.0,8522806.0,8322429.5,9713498.0,8962832.0,8849121.0,8462868.0,9311346.0
2015-07-01,6947216.0,6349593.5,8429814.0,7850795.0,5708446.0,6231674.0,5382294.5,10368597.0,5427179.5,6160629.0,7178948.0,4259007.0,5206925.5,6047499.5,7233919.0
2015-08-01,4025535.0,4162760.5,5840999.0,6539859.0,4012701.5,3855579.0,3916827.5,8643578.0,2408581.0,4710818.5,5356686.5,1907376.6,2807919.5,4313068.5,5266416.0
2015-09-01,3976194.2,3452314.0,5314955.5,6930483.0,4061528.0,2890885.5,4458768.0,8508750.0,2072813.4,4701856.5,5072533.5,1754424.9,2229668.2,3596809.0,4652671.0
2015-10-01,6647577.0,4598773.0,8011534.5,8924480.0,5651534.0,5108845.5,6553519.5,10221158.0,4448612.5,7029149.0,6838746.0,3684902.0,4023102.0,5607734.5,7047091.5
2015-11-01,9795685.0,6622861.0,10641004.0,11682184.0,8307835.0,7877081.5,9080048.0,12033427.0,8034671.0,8577866.0,9282329.0,7263994.0,7244164.0,8299810.5,10182924.0
2015-12-01,11904245.0,9398418.0,13023202.0,14657344.0,10418987.0,10209179.0,11304236.0,13928226.0,10949836.0,9675626.0,11350704.0,10024632.0,10200020.0,10816039.0,11653338.0
2016-01-01,13925580.0,11249200.0,14867422.0,17243032.0,12166554.0,12194099.0,13093246.0,15791795.0,13048412.0,10916552.0,13151054.0,12317628.0,11725422.0,12306581.0,13387845.0
2016-02-01,14959217.0,12846942.0,16277706.0,18648994.0,13286134.0,13058832.0,13829776.0,16697284.0,14310905.0,11555779.0,14179355.0,13452978.0,12820468.0,13490796.0,13759746.0
2016-03-01,15355567.0,13535370.0,16437387.0,18937542.0,13188023.0,13419390.0,13727974.0,16747886.0,14553654.0,11613072.0,14206592.0,14114455.0,13244510.0,13496166.0,13771332.0
2016-04-01,14712999.0,13082421.0,16021914.0,17907432.0,12544314.0,13222218.0,13415188.0,15810021.0,13748546.0,11315720.0,13618530.0,13873796.0,12546602.0,12946456.0,12950528.0
2016-05-01,12899358.0,11385419.0,13997368.0,14759674.0,11081424.0,11561440.0,11684473.0,14140033.0,11795698.0,10422657.0,11553154.0,12331198.0,11178203.0,11563038.0,11472917.0
2016-06-01,9888156.0,8703525.0,11189708.0,11028388.0,8849922.0,9325410.0,8723733.0,12146630.0,8757638.0,8417950.0,8743050.0,9100818.0,8588697.0,8745505.0,9333274.0
2016-07-01,6335874.0,5717843.5,8781624.0,8531080.0,6022244.5,6439567.0,5771145.5,10026399.0,5640193.0,6312168.0,5797015.0,5012450.0,5033713.5,5913083.0,7256072.0
2016-08-01,3732881.5,3479268.2,6770495.0,6640788.5,4177693.0,3621109.2,3484071.0,8013874.5,3067813.0,4589433.0,4218604.5,2813523.2,2834613.5,4029166.8,5119181.5
2016-09-01,3802965.8,3052294.0,6757029.0,6853377.5,4283656.5,2902464.5,4343475.5,7887314.0,2818972.0,4687440.0,4155037.5,2856077.5,2525222.8,3846313.5,4435134.0
2016-10-01,6120557.5,4466953.0,8253157.5,8798248.0,6012071.5,5761722.5,7510359.0,9775115.0,4801580.5,6758512.5,6222913.0,4845059.0,4202897.0,5359951.5,6963589.0
2016-11-01,9422983.0,6308015.5,10678256.0,11558296.0,8376404.5,8699216.0,10042614.0,11634507.0,7808135.0,8388353.0,8877986.0,8287854.0,7028805.0,7278576.0,9643264.0
