time,ACCESS-CM2,ACCESS-ESM1-5,BCC-ESM1,CanESM5,CESM2-WACCM,EC-Earth3-Veg,FGOALS-g3,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
2015-01-01,13362654.0,12425448.0,15404661.0,12064077.0,12183924.0,13709068.0,15103894.0,12817842.0,11178306.0,12021134.0,12179578.0,12545759.0,13412995.0
2015-02-01,14514984.0,13974014.0,16356270.0,12978999.0,13010118.0,14676848.0,15985493.0,14023755.0,11788715.0,13394670.0,13360070.0,13429347.0,13949204.0
2015-03-01,15007979.0,14293278.0,16640426.0,12973230.0,13292349.0,14737293.0,16026120.0,13937127.0,11989780.0,13699657.0,13560536.0,13698652.0,14075908.0
2015-04-01,14497068.0,13836340.0,16085922.0,12186552.0,12969750.0,14185552.0,15425827.0,13343496.0,11645022.0,12942844.0,12962774.0,13305180.0,13147990.0
2015-05-01,13080920.0,12051374.0,14412144.0,10676194.0,11329682.0,12577998.0,13866618.0,11526357.0,10578342.0,11508152.0,11453344.0,11693911.0,11345710.0
2015-06-01,10569963.0,9573146.0,11263481.0,8586587.0,9306172.0,10162240.0,11878191.0,8690912.0,8572478.0,8629286.0,8591280.0,8800360.0,9336450.0
2015-07-01,7480305.0,7203447.0,7898371.5,5830781.0,6524390.5,7139897.5,9911365.0,4699367.0,5972590.0,4735100.5,5685950.0,6105491.0,6820846.5
2015-08-01,4973492.0,4905696.5,5032333.0,3820157.8,3541771.8,4703422.5,8236116.0,1178858.0,4130553.5,2400092.5,3991024.8,3244275.0,4673236.0
2015-09-01,4997087.5,4137051.0,4961849.5,3626540.2,2654280.8,5424855.0,8109873.5,957037.9,3941573.5,2133269.0,3545256.0,1890666.9,4334973.0
2015-10-01,7486419.5,5773317.5,7621727.0,5682151.0,5242885.5,8024952.0,9887563.0,2321058.2,6036733.0,4029306.5,5443462.0,3854482.5,6225068.0
2015-11-01,9622481.0,8061271.0,10622386.0,8081187.0,8521517.0,10397207.0,11571216.0,6952807.5,8467186.0,7793600.0,8292145.0,7215599.5,9703572.0
2015-12-01,11220956.0,9998124.0,12859838.0,10031404.0,10824976.0,12231083.0,13467673.0,10849728.0,9705610.0,10589448.0,10355838.0,10597586.0,11831020.0
2016-01-01,13387934.0,12023958.0,15073216.0,11939030.0,12370032.0,13756216.0,15364536.0,13298773.0,10958123.0,12474710.0,11904450.0,12282245.0,12866032.0
2016-02-01,14889167.0,13567712.0,16445497.0,13075300.0,13145254.0,14550553.0,15957577.0,14365871.0,11617752.0,13772577.0,13098230.0,13369066.0,13745000.0
2016-03-01,15284207.0,13854254.0,16808688.0,13449587.0,13258290.0,14705360.0,16064541.0,14241974.0,11787872.0,14031708.0,13336553.0,13467708.0,13808883.0
2016-04-01,14738658.0,13589108.0,15718036.0,12813818.0,12781662.0,14028598.0,15263331.0,13298287.0,11492934.0,13430791.0,12942384.0,12656270.0,12607032.0
2016-05-01,13268156.0,11842810.0,14202241.0,11080186.0,11408332.0,11915590.0,13542492.0,11140282.0,10448332.0,11941790.0,11333204.0,11167487.0,10806422.0
