time,ACCESS-CM2,ACCESS-ESM1-5,CanESM5,CIESM,CMCC-CM2-SR5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,FGOALS-g3,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM
2015-01-01,13184282.0,11617499.0,12265420.0,9586756.0,7792408.0,12291249.0,12741276.0,14460174.0,15617113.0,12710559.0,12891386.0,10731418.0,11980979.0,12430252.0,12117385.0,12928452.0,13295840.0
2015-02-01,14467077.0,12834159.0,13483239.0,12537793.0,10243725.0,13149012.0,13499332.0,15400328.0,16481420.0,13959761.0,14227771.0,11592002.0,13093085.0,13270089.0,12975230.0,13484312.0,14001905.0
2015-03-01,14593692.0,13271113.0,13476624.0,13103792.0,10724294.0,12993256.0,13660845.0,15595632.0,16121916.0,13949518.0,14491023.0,11922065.0,13264660.0,13338178.0,13174066.0,13492160.0,14111729.0
2015-04-01,14407469.0,12933516.0,12597976.0,12611442.0,10004004.0,12458452.0,12866909.0,14433828.0,14944371.0,13223232.0,13737043.0,11539141.0,12891919.0,12666736.0,12636848.0,12607152.0,13312251.0
2015-05-01,13021971.0,11332053.0,11015337.0,11086270.0,8061014.0,10806698.0,11181512.0,12205249.0,13526048.0,11495848.0,11401874.0,10247978.0,11682484.0,11167331.0,10973164.0,11003374.0,11701068.0
2015-06-01,10746998.0,9070792.0,8695468.0,8736726.0,4368639.0,8091092.0,8436884.0,10031269.0,11864470.0,8619494.0,8241070.0,7970285.0,9079911.0,8629366.0,8356088.5,8949540.0,9591568.0
2015-07-01,7283135.0,6587679.0,5989071.5,4741959.0,153081.62,5391723.0,5445227.0,6545597.0,10196601.0,6337861.0,5387668.0,5700079.0,5800557.5,5539910.5,5486434.0,6739603.5,7188937.0
2015-08-01,4370921.5,4544401.0,4304930.5,634524.3,6677.3125,3801163.0,3580525.0,3189327.8,8712637.0,4534807.5,2891375.8,3782879.8,3718001.8,3773555.5,3011498.2,4807585.0,5379590.0
2015-09-01,4406363.5,3857705.0,4347983.5,173599.83,99.62394,4215883.0,3640402.5,2239231.2,8804615.0,4417880.0,2483531.5,3658161.8,3526471.0,3450304.5,2312501.0,4420298.5,5437333.0
2015-10-01,6659711.0,5255074.0,5899687.5,1015081.75,21441.629,6044752.5,5510361.0,5849212.0,10625685.0,6436858.5,4027188.2,5885495.5,5292805.0,5035961.0,3499698.0,7230916.0,7313992.0
2015-11-01,9580338.0,7144779.0,8170418.0,3965159.5,634224.4,8842333.0,8211662.0,9270022.0,12102493.0,9300519.0,5701714.0,8356698.0,8258947.0,7688739.0,5970302.0,9679632.0,10008132.0
2015-12-01,11629595.0,10233729.0,10405098.0,8259867.0,3466263.5,10957750.0,10806370.0,11894969.0,13692434.0,11287005.0,9320160.0,9498275.0,10308451.0,10052217.0,9866985.0,11589011.0,12333858.0
2016-01-01,13347003.0,12151540.0,12456444.0,11355218.0,7897265.0,12472350.0,12425229.0,14146768.0,15293854.0,12732639.0,12588580.0,10746452.0,12131860.0,11805039.0,11793485.0,13003399.0,13750091.0
2016-02-01,14293841.0,13111082.0,13053637.0,12706885.0,10238614.0,13066824.0,13432064.0,15584092.0,15932360.0,13885697.0,14056932.0,11770270.0,12976601.0,12766656.0,12463212.0,13748052.0,14188895.0
2016-03-01,14562599.0,13385571.0,13242946.0,13069772.0,11033432.0,12990984.0,13397661.0,15799326.0,16022495.0,13939307.0,14141077.0,11919924.0,13116428.0,12904274.0,12905142.0,13512129.0,14243026.0
2016-04-01,14090672.0,12874475.0,12514632.0,12620680.0,10146580.0,12619563.0,12649200.0,14654796.0,15468552.0,13049904.0,13318550.0,11486781.0,12830678.0,12320254.0,12519661.0,12538978.0,13633074.0
2016-05-01,12579505.0,11032037.0,10867745.0,11196078.0,8097623.0,11489359.0,10827150.0,12453750.0,13851774.0,11099020.0,10907062.0,10480230.0,11439622.0,11008267.0,11014016.0,11087474.0,11568337.0
2016-06-01,10176571.0,8769946.0,8530316.0,8692022.0,4544333.0,8728180.0,7525031.5,10250062.0,12125556.0,8464350.0,7935527.0,8402690.0,8601236.0,8380992.0,7738343.0,9074584.0,9694732.0
2016-07-01,7127644.0,6138376.0,5487583.0,3756482.0,235425.92,6053271.5,5017751.5,6826246.5,10387044.0,6414630.5,4521330.0,6160923.5,5115965.5,5846713.0,4787590.0,6855706.5,7455175.0
2016-08-01,4617607.0,3701932.8,3359316.5,296032.03,16733.52,4352998.5,3159240.0,3504052.2,8734974.0,4678126.0,1540673.4,4440644.0,3125716.0,3995602.0,2483078.8,4880185.5,5546711.5
2016-09-01,4879679.0,3166489.0,3332374.5,111289.49,647.1149,5742580.5,3546092.2,2619912.5,8628511.0,4363037.5,1680621.5,4111732.0,3169963.0,3639244.0,2007539.9,4592876.0,5067221.0
2016-10-01,7008997.0,4546052.0,5018235.5,566572.0,86917.08,7759754.5,5514459.0,6786571.0,10362987.0,6682022.5,4530268.0,6389933.0,5133877.5,5693219.0,3015457.0,6820892.5,7413813.5
2016-11-01,9422747.0,6754842.0,7771793.0,2838611.0,1234619.9,9559003.0,7742388.5,9964870.0,11795319.0,9397687.0,7375082.5,8631763.0,8218309.5,7882816.0,5047507.5,9491440.0,10215252.0
