time,ACCESS-CM2,ACCESS-ESM1-5,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM-FV2,CIESM,CMCC-CM2-HR4,CMCC-CM2-SR5,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-LM,SAM0-UNICON
1850-01-01,14308180.0,13390206.0,14487656.0,13509826.0,13721056.0,14181558.0,11670914.0,12871692.0,12071552.0,18107524.0,18364840.0,16666200.0,17099666.0,15325478.0,11340508.0,13066468.0,13719474.0,14398823.0,13804456.0,14029387.0,14099590.0,14752154.0
1850-02-01,15219564.0,14648250.0,15624128.0,14296585.0,14169092.0,14683432.0,13141052.0,13462230.0,12962236.0,19181528.0,18942268.0,17452740.0,18339514.0,16732326.0,11804319.0,13794390.0,13982569.0,15373476.0,14883036.0,14407098.0,14428174.0,15443718.0
1850-03-01,15770274.0,15063934.0,15795635.0,14682684.0,14575154.0,14613186.0,13186016.0,13497664.0,12992288.0,19811950.0,19052570.0,17566340.0,18482912.0,16612976.0,12018004.0,14039296.0,14422840.0,15646894.0,15115587.0,14686786.0,14314548.0,15685420.0
1850-04-01,15158418.0,14462346.0,15030035.0,14195284.0,14241800.0,14476560.0,12889260.0,12668196.0,12192922.0,18880524.0,17790288.0,16461548.0,17310396.0,15600220.0,11775306.0,13370305.0,13818382.0,14574862.0,14215508.0,14245536.0,13895150.0,14841992.0
1850-05-01,13450775.0,12848966.0,13342696.0,12629368.0,12793143.0,13047240.0,11213892.0,10800211.0,10304559.0,16729766.0,15763075.0,14262896.0,14894934.0,12965281.0,10656795.0,12055994.0,12376025.0,12421906.0,12428150.0,12774972.0,12263137.0,13200797.0
1850-06-01,10806334.0,10029809.0,10611824.0,10698050.0,10773416.0,10922484.0,8572804.0,9042155.0,8177917.0,13265945.0,12759117.0,11824609.0,12553996.0,10518932.0,8865968.0,9877509.0,9916018.0,9946955.0,9407958.0,11110656.0,10199753.0,11362703.0
1850-07-01,7695220.0,7482166.0,7468196.0,7981815.0,8413458.0,8799447.0,3377535.5,7273680.0,3907933.2,10156133.0,9819210.0,8568055.0,9601827.0,8613541.0,7129466.0,7102039.0,6751370.5,7244925.0,6674855.5,9193268.0,7969393.0,9233362.0
1850-08-01,5426644.0,5721486.0,5544075.0,5920308.0,6807794.5,7281705.0,336562.06,6014590.0,461196.53,8888368.0,8514964.0,6423029.5,7803526.0,6588331.5,6047961.0,5484254.5,5061686.0,5618162.0,4982656.0,7888246.0,6450364.5,7519703.0
1850-09-01,5505293.0,5302364.0,5783884.5,5494153.0,6515523.5,6992307.5,266116.75,6227179.0,348004.56,10325532.0,9325305.0,6210903.0,8950099.0,6654746.0,6327926.0,5371066.5,4957618.0,5396017.0,4851449.5,8000584.0,6523863.0,7567708.0
1850-10-01,7643600.0,6523621.5,7598337.0,7194975.0,8604970.0,8420888.0,1073122.0,8533985.0,1805305.0,11971483.0,11233136.0,8906379.0,11245047.0,8692039.0,7987951.5,6807680.5,6663287.0,7082132.0,6570463.5,9509264.0,8767948.0,9722451.0
