time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
1850-01-01,14591062.0,14259258.0,15880778.0,16038328.0,17864740.0,15577196.0,13470972.0,13649564.0,13479353.0,13834791.0,12667059.0,14456631.0,16457524.0,18534664.0,15983702.0,17099708.0,14111944.0,13831300.0,14971576.0,11500197.0,13102128.0,13398022.0,13463014.0,13874528.0,13486436.0
1850-02-01,15614516.0,15350954.0,16752429.0,16929548.0,18807260.0,16691004.0,14067712.0,14080330.0,14142980.0,14534468.0,13725026.0,15225863.0,16821412.0,19544094.0,16964412.0,17942392.0,14966742.0,14720072.0,16162306.0,12173534.0,13692478.0,14228624.0,14662996.0,14801990.0,14096339.0
1850-03-01,15938033.0,15442366.0,17029424.0,17216988.0,19081424.0,16827640.0,14219252.0,14374204.0,14370118.0,14777889.0,13661864.0,15372750.0,17252808.0,19605648.0,17189462.0,17801606.0,14826716.0,14675979.0,16160210.0,12423788.0,14300646.0,14399288.0,15010116.0,15039969.0,14061412.0
1850-04-01,15550618.0,14776824.0,16194378.0,16798548.0,17810220.0,16380233.0,13877231.0,13597060.0,14084798.0,14239884.0,13204448.0,14710121.0,16424326.0,19031200.0,16157300.0,16949380.0,14114705.0,13737892.0,15243893.0,12129774.0,13954918.0,13821934.0,14477216.0,14381148.0,12992000.0
1850-05-01,13807002.0,13089192.0,13845873.0,14674188.0,14517136.0,14380858.0,12615280.0,11929574.0,12411733.0,12929451.0,11653036.0,12877466.0,14849701.0,16834364.0,13738833.0,14620142.0,12303322.0,11733452.0,12796890.0,11051734.0,12387288.0,12278531.0,12647904.0,12404478.0,11469886.0
1850-06-01,11223223.0,10334124.0,11440345.0,11963837.0,11828799.0,11859784.0,10531351.0,10240813.0,10370551.0,10926492.0,9061411.0,10038436.0,12083672.0,13252814.0,11391226.0,11704960.0,10040858.0,9428758.0,9877826.0,9398010.0,9968206.0,10068872.0,10036368.0,9593324.0,9690316.0
1850-07-01,8006904.0,7692721.0,9092016.0,8854484.0,8793913.0,9347642.0,7864701.0,8374515.0,8042460.5,8579790.0,5829889.0,6783679.0,9529508.0,10124692.0,8729486.0,9091605.0,7655948.0,7677001.0,7932920.0,7364880.0,6864757.0,7000196.5,7507365.0,6799240.5,7353408.5
1850-08-01,5356328.0,5843297.0,7388956.5,5988804.0,6907811.5,7666956.5,5906637.5,6766959.0,6308477.0,6678411.0,1348666.6,5002753.0,7968625.5,8345307.5,6770871.5,7500463.0,5228287.5,6115113.5,6638630.0,6099244.5,5248400.5,5184286.0,6091657.0,4757228.5,5455149.0
1850-09-01,5494046.0,5542503.0,8036258.5,5532370.0,7406292.5,7898781.0,5682375.0,6667728.0,6107348.5,6089512.0,525705.5,6166598.0,9184284.0,8816388.0,6450815.5,8157037.0,5070046.0,6087696.0,6663472.0,6461150.0,5160639.0,5029866.0,6087324.5,4489382.5,5081264.0
1850-10-01,8005112.5,6630233.0,10155837.0,8517050.0,9645507.0,9903310.0,7868693.0,8505025.0,7864998.0,8122429.0,2855548.5,8092962.0,11721758.0,11000216.0,8950060.0,11005810.0,7453600.0,8370326.0,8690896.0,8217343.0,6663283.0,6646276.5,7465952.0,6267439.0,7879538.0
