time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0
1850-01-01,14315908.0,13288974.0,16446057.0,16407774.0,15074891.0,14098442.0,14444196.0,13634692.0,13865855.0,12583856.0,15294184.0,17530240.0,18698470.0,16062038.0,16307143.0,13478000.0,12663981.0,15458730.0,11729454.0,13748786.0,13600486.0,13429304.0
1850-02-01,15280533.0,14399096.0,17286856.0,17531260.0,15647450.0,14795124.0,15382226.0,14315936.0,14430872.0,13375630.0,16252632.0,18033316.0,19745680.0,17167390.0,17170692.0,14284834.0,13529120.0,16750022.0,12256136.0,14949698.0,14629254.0,14393126.0
1850-03-01,15992836.0,14819762.0,17774736.0,17617486.0,15941230.0,14713433.0,15683706.0,14462485.0,14516039.0,13648956.0,16474390.0,18141712.0,19992244.0,17011432.0,17132264.0,14594209.0,13581000.0,16961446.0,12287924.0,15246126.0,14640573.0,14449380.0
1850-04-01,15463718.0,14368411.0,16556115.0,16867746.0,15838392.0,14257272.0,15237827.0,14198294.0,14129196.0,12908134.0,15582732.0,17758926.0,19206592.0,15919683.0,16038847.0,13921011.0,12893511.0,15889410.0,12152086.0,14952861.0,13939680.0,13784122.0
1850-05-01,13796518.0,12798579.0,14326374.0,15007645.0,13880613.0,12974793.0,13447242.0,12827601.0,12657183.0,11447513.0,13758246.0,15328202.0,16759672.0,13289505.0,14318199.0,12219907.0,10948170.0,13577666.0,11324861.0,13539188.0,12246956.0,12130969.0
1850-06-01,11272354.0,10386193.0,11481615.0,12676996.0,11242026.0,11120560.0,10917420.0,11039042.0,10802601.0,9040465.0,11195283.0,12016382.0,13251050.0,10789770.0,12749479.0,10164032.0,8664806.0,10488353.0,9722070.0,10694468.0,9964893.0,9463413.0
1850-07-01,8142829.0,7583611.0,8732684.0,9694244.0,8852212.0,8770296.0,8525596.0,8835417.0,8935448.0,5514425.0,8281929.5,9295052.0,10721658.0,8081566.5,11433623.0,7712840.0,7069316.0,8111474.0,7614875.0,7378432.0,6919152.0,6921992.0
1850-08-01,5768346.0,5407835.0,5840692.5,6859867.0,6824820.0,6703637.0,6307804.0,6937015.5,6843239.0,759568.6,6515027.0,7646793.0,9256316.0,5715563.5,10019382.0,5822641.0,5469876.0,6462445.0,6385476.0,5395260.5,5293398.5,4355929.0
1850-09-01,5922933.0,5163100.5,5801856.5,7140892.5,6897700.0,6550366.5,5854590.0,6660002.0,6426384.5,150273.73,7148171.5,8482076.0,9933661.0,5271428.0,10244856.0,5908131.5,5084216.0,6980647.5,6669459.0,5192755.0,4999564.5,3760626.0
1850-10-01,7845746.0,6571083.0,8375218.0,9311259.0,8901247.0,8491863.0,8421991.0,8695024.0,8357785.0,3127595.2,10261924.0,10801996.0,11665010.0,8006635.5,11486998.0,7631047.5,7054668.5,9315932.0,8505418.0,6893483.0,6757645.5,5750405.0
1850-11-01,10737024.0,8243708.0,11415876.0,11988211.0,10910386.0,9965710.0,10577672.0,10527110.0,10268966.0,7288419.0,12795316.0,13045689.0,14673622.0,10457483.0,12775341.0,9815788.0,9476226.0,11458018.0,9653093.0,9918907.0,9077788.0,9395300.0
1850-12-01,13373430.0,10693170.0,14065108.0,14003196.0,13323960.0,12149426.0,12918260.0,12468244.0,12435703.0,10181639.0,14741424.0,15483405.0,17313728.0,13462883.0,14814266.0,12286307.0,11427470.0,13692156.0,10940190.0,12123074.0,11435810.0,12021506.0
1851-01-01,14767396.0,13421981.0,16558476.0,16417226.0,15370669.0,13981418.0,14619692.0,13934869.0,14053140.0,12312739.0,16132245.0,17157208.0,18908440.0,15548984.0,16566562.0,14174226.0,12904976.0,15807022.0,12060908.0,14138183.0,13361680.0,13634338.0
1851-02-01,15902051.0,14781177.0,17327578.0,17473164.0,16300902.0,14606484.0,15284409.0,14364300.0,14439328.0,13356652.0,16717778.0,18241470.0,19627948.0,16955052.0,17700752.0,14731553.0,13488920.0,17244740.0,12512706.0,14926628.0,13905098.0,14386102.0
1851-03-01,16574862.0,14916022.0,17372678.0,17755940.0,16282768.0,14841190.0,15417033.0,14429679.0,14499418.0,13635126.0,16789392.0,18504270.0,19850796.0,17223600.0,17649938.0,14946292.0,13394958.0,17293976.0,12425080.0,15193091.0,14224486.0,14912354.0
1851-04-01,16070426.0,14667657.0,16395928.0,16915328.0,15365230.0,14339982.0,15138244.0,14110334.0,14191415.0,13109412.0,15886368.0,18016248.0,19124544.0,16235343.0,16721266.0,14126788.0,12771756.0,16020171.0,12139594.0,14751300.0,13615102.0,14247968.0
1851-05-01,14045747.0,12955508.0,14245664.0,14998960.0,13650792.0,13023564.0,13434542.0,12751641.0,12782389.0,11203864.0,13899535.0,15853133.0,16770070.0,13843478.0,15037013.0,12117284.0,11031702.0,13607338.0,11322338.0,13512840.0,11977277.0,12366028.0
1851-06-01,11462264.0,10317163.0,11439706.0,12316258.0,10637319.0,10838729.0,10994822.0,10899626.0,10847847.0,8608717.0,11140185.0,12221231.0,13393838.0,11115732.0,12808666.0,9956055.0,8544994.0,10605592.0,9631959.0,11179020.0,9661221.0,9762640.0
