time,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2-WACCM,CMCC-CM2-SR5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,FGOALS-g3,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
2015-01-01,13130340.0,11558608.0,14758590.0,15632703.0,18573252.0,12332272.0,12671786.0,7660929.0,12348054.0,12712068.0,14451198.0,15401732.0,12705646.0,12868841.0,10708001.0,12226556.0,11923444.0,12324012.0,12046501.0,12894187.0
2015-02-01,14165795.0,12704626.0,16059365.0,16491806.0,20034156.0,13694822.0,13475707.0,9819480.0,12877178.0,13565259.0,15516467.0,16396682.0,13513372.0,14450920.0,11610703.0,12835906.0,12777632.0,13225839.0,13035470.0,13494107.0
2015-03-01,14551800.0,13123686.0,16339976.0,16751558.0,19833256.0,13915237.0,13743588.0,10328287.0,12971040.0,13716888.0,15596276.0,16246331.0,13558447.0,14636261.0,11777964.0,13019084.0,13177077.0,13659278.0,13327760.0,13456756.0
2015-04-01,14155228.0,12644912.0,15578976.0,16246848.0,18559040.0,13047803.0,13310306.0,9386406.0,12330890.0,13062512.0,14701627.0,15397958.0,12982641.0,13605276.0,11377063.0,12258578.0,12616325.0,12809664.0,12846256.0,12449428.0
2015-05-01,12412644.0,11247681.0,13330070.0,14357976.0,15435609.0,11086294.0,11717280.0,7529907.0,10947516.0,11478976.0,12461618.0,13876156.0,11206890.0,11101118.0,10381367.0,10751748.0,11317726.0,11254284.0,11165214.0,10810830.0
2015-06-01,9830140.0,9135768.0,10283355.0,11790346.0,12402659.0,8721421.0,9567986.0,4063336.2,8499333.0,8541555.0,10065906.0,11991306.0,8437599.0,7745620.0,8209055.5,8569154.0,8255881.0,8774581.0,8686902.0,8734719.0
2015-07-01,6019635.0,6396596.5,7285518.0,8520109.0,9624140.0,5937587.0,6253934.0,202127.56,5666293.5,5390957.5,7149529.0,10279540.0,6187050.5,5532201.0,6086033.5,5567252.5,4504344.0,5786339.5,5657534.0,6641931.0
2015-08-01,3606646.5,3996748.5,4596728.5,5883662.5,7495401.0,3992445.5,3266658.0,5583.794,4026988.0,3540110.5,4398691.0,8451495.0,4221329.0,3967522.5,4424810.0,3779617.0,2547498.5,3734003.0,3056955.5,4307321.5
2015-09-01,3720898.5,3537530.0,4434721.5,5407080.0,7450119.0,4241152.0,2556257.2,0.0,4424438.5,3738722.2,3725264.8,8387306.0,3845597.5,4412375.5,4084270.2,3670127.0,2419007.5,3377845.8,2004874.1,4076848.5
2015-10-01,5654702.5,4841883.0,6809730.5,7751932.5,9876544.0,6278667.5,4902827.0,69109.74,6379250.0,6721559.0,6977224.0,10222455.0,6632089.0,5940584.0,6485849.5,5149977.0,3995114.2,5242503.5,3819692.0,6768724.0
