time,ACCESS-CM2,ACCESS-ESM1-5,BCC-ESM1,CAMS-CSM1-0,CanESM5,CESM2-WACCM,EC-Earth3-Veg,FGOALS-g3,IPSL-CM6A-LR,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
2015-01-01,13847039.0,11570520.0,14925010.0,16664237.0,12449354.0,12129244.0,12502656.0,15558959.0,12726436.0,10329963.0,12447843.0,12654840.0,11553006.0,12875930.0,13111317.0
2015-02-01,14990434.0,12911586.0,16096073.0,18259428.0,13681118.0,12907213.0,13381283.0,16503881.0,13729426.0,11351195.0,13240152.0,13543048.0,12615090.0,13556401.0,13878232.0
2015-03-01,15216078.0,13152844.0,16498076.0,18467252.0,13666174.0,13255969.0,13556770.0,16287597.0,13848096.0,11479196.0,13681502.0,13935578.0,12966059.0,13546170.0,13850238.0
2015-04-01,14963827.0,12453942.0,15833169.0,17273652.0,13062958.0,12751430.0,13099106.0,15321732.0,13152597.0,11155422.0,13291899.0,13616724.0,12650547.0,12910328.0,13166553.0
2015-05-01,13324672.0,10744966.0,14250308.0,13941716.0,11078002.0,11024517.0,11273887.0,13829768.0,11041792.0,10269917.0,11918958.0,12205663.0,11335376.0,11253140.0,11280514.0
2015-06-01,10563174.0,8457740.0,11355752.0,10396100.0,8395594.0,8935788.0,8157149.5,12257680.0,8462918.0,8283532.0,9665939.0,8898416.0,8810558.0,8364502.5,9226573.0
2015-07-01,6776068.0,6197086.5,8376699.0,7789203.5,5621030.0,6111123.0,5289908.5,10254026.0,5339999.0,6103410.0,7135256.0,4151005.5,5117380.5,5906108.0,7119540.5
2015-08-01,3818799.5,4030152.0,5773351.5,6516406.0,3959144.8,3697854.5,3856066.0,8525131.0,2293521.0,4660528.0,5313190.0,1826933.2,2732460.5,4204973.0,5119222.0
2015-09-01,3833565.5,3318450.0,5249458.5,6906197.5,4021552.2,2739731.5,4396128.0,8418992.0,1999133.6,4660658.0,5045688.5,1721475.8,2185087.5,3504564.5,4523058.0
2015-10-01,6569036.0,4535701.5,7950800.0,8877628.0,5596664.5,5055411.5,6491838.0,10166501.0,4394225.0,7006093.0,6797266.0,3607808.0,3945389.0,5542805.0,6985657.0
2015-11-01,9760995.0,6561258.0,10592360.0,11624695.0,8273867.0,7848211.0,9026677.0,11993134.0,7981324.0,8556418.0,9236636.0,7209063.0,7192039.5,8250152.5,10150571.0
2015-12-01,11847468.0,9355017.0,12972780.0,14568112.0,10350514.0,10162042.0,11247466.0,13868328.0,10892738.0,9639738.0,11291088.0,9953570.0,10144504.0,10768324.0,11616276.0
2016-01-01,13872544.0,11184188.0,14811789.0,17154908.0,12110930.0,12158991.0,13052178.0,15719265.0,12979734.0,10895640.0,13094137.0,12281808.0,11668366.0,12259446.0,13352948.0
2016-02-01,14901079.0,12792290.0,16221143.0,18567686.0,13239461.0,13030654.0,13783055.0,16625556.0,14257430.0,11536632.0,14129532.0,13413902.0,12767502.0,13444494.0,13718542.0
2016-03-01,15299891.0,13480618.0,16373697.0,18867534.0,13146360.0,13388398.0,13679282.0,16664629.0,14500214.0,11590476.0,14152558.0,14081960.0,13199872.0,13452811.0,13726009.0
2016-04-01,14643551.0,13020129.0,15967828.0,17831412.0,12499080.0,13186851.0,13374393.0,15720566.0,13694466.0,11294936.0,13570408.0,13844300.0,12501986.0,12894788.0,12895748.0
2016-05-01,12818507.0,11297662.0,13927480.0,14644214.0,11044449.0,11506123.0,11632809.0,14060949.0,11731068.0,10399557.0,11493825.0,12275489.0,11125316.0,11513004.0,11406366.0
2016-06-01,9760906.0,8562788.0,11117118.0,10916102.0,8787968.0,9253096.0,8646035.0,12035455.0,8688729.0,8362319.5,8707596.0,9030057.0,8535941.0,8659121.0,9224230.0
2016-07-01,6153805.0,5523345.5,8726024.0,8467796.0,5955789.5,6301254.0,5680112.0,9917742.0,5547396.0,6258059.5,5750126.5,4919399.0,4949718.0,5728420.0,7149232.0
2016-08-01,3562205.2,3306137.0,6723578.5,6591251.5,4127405.2,3460665.5,3406100.0,7857737.5,2994648.0,4523790.0,4184389.2,2750082.2,2761646.5,3872118.5,4936852.5
2016-09-01,3657710.0,2949157.2,6723000.5,6811970.5,4256061.5,2791845.2,4268270.0,7780033.0,2760245.0,4647074.0,4119531.5,2814498.0,2489592.0,3765788.2,4263643.0
2016-10-01,6046354.0,4414160.0,8220860.0,8748374.0,5949351.0,5723037.5,7438664.0,9714127.0,4762694.5,6731239.0,6177721.5,4773044.0,4148441.0,5313298.0,6889737.5
2016-11-01,9383329.0,6239809.5,10623863.0,11483212.0,8332326.0,8665193.0,9999242.0,11578189.0,7756331.0,8360036.0,8849292.0,8232318.5,6985472.0,7229733.0,9606378.0
2016-12-01,11417630.0,9317702.0,13225678.0,14816510.0,9963162.0,10914968.0,11788216.0,13789487.0,11113009.0,9621249.0,10699492.0,10798749.0,9595294.0,9925809.0,11434118.0
2017-01-01,13238274.0,11656337.0,15222404.0,17751442.0,11542162.0,12381640.0,13152993.0,16172158.0,13109883.0,10886395.0,12534896.0,12993899.0,11706159.0,12222590.0,13216101.0
2017-02-01,14367376.0,13228173.0,16616499.0,18850494.0,12584642.0,13176838.0,13895294.0,17168032.0,14585132.0,11433284.0,13142709.0,13679802.0,12780157.0,13277656.0,13891112.0
2017-03-01,14782618.0,13486280.0,16724209.0,18996124.0,13075006.0,13612462.0,13755326.0,17128068.0,14927260.0,11655768.0,13745716.0,13681848.0,12931912.0,13382687.0,13918902.0
2017-04-01,14381026.0,13181648.0,16281330.0,17574416.0,12603118.0,13153416.0,13156478.0,15865792.0,14213773.0,11426903.0,13265812.0,13442778.0,12534496.0,13016363.0,13255186.0
2017-05-01,12669380.0,11539887.0,14437596.0,14615479.0,10765374.0,11565339.0,11170652.0,13957077.0,11974884.0,10389190.0,11551576.0,11851297.0,11261882.0,11297136.0,11375042.0
2017-06-01,9969838.0,8881938.0,11554302.0,12047034.0,8311909.0,9511095.0,8005517.0,12204770.0,8890360.0,8413104.0,8908239.0,8968097.0,8567227.0,8231156.0,9394427.0
2017-07-01,6097658.0,6325792.0,8242827.5,8508228.0,5594071.0,6535635.0,5352082.0,10206614.0,5249501.0,6109370.5,6280799.0,5683302.0,5421817.0,5035705.5,6944896.5
2017-08-01,3245997.0,3794281.5,5200253.0,6366924.5,3600851.5,3786881.5,2860618.8,8388419.5,2016735.9,4488922.0,4592041.5,3601901.2,3128307.2,2618375.0,5201113.5
2017-09-01,3262454.0,3215373.2,5075988.5,6482563.0,3577864.5,3162267.5,3375581.8,8227537.0,1965050.9,4485263.0,4372547.5,3325274.8,2943674.2,1764968.4,4754585.0
2017-10-01,5909561.0,5051077.5,7360212.0,8838944.0,5375797.5,6003978.5,6808427.0,10177784.0,3460195.0,6479597.0,6015005.0,5024772.0,4770472.0,3468250.0,6717037.0
2017-11-01,8857479.0,6986006.0,10835968.0,12136983.0,7508000.0,8934581.0,9358748.0,11865086.0,7460913.0,8352366.0,8468990.0,7948608.0,7665045.0,7052059.0,9345643.0
2017-12-01,10903753.0,9255707.0,13398928.0,15143994.0,9890048.0,10765327.0,10935988.0,13867725.0,11089400.0,9578529.0,10708560.0,10384570.0,9968694.0,10444524.0,11576564.0
2018-01-01,13041655.0,11526213.0,15366749.0,17613168.0,11512839.0,12638566.0,12545538.0,15414637.0,13613100.0,10780826.0,12470973.0,12669290.0,11843654.0,12190068.0,12879448.0
2018-02-01,14392590.0,13206082.0,16321128.0,18930840.0,12758674.0,13544888.0,13668871.0,16276843.0,14720705.0,11394922.0,13874448.0,13346672.0,13025664.0,12911739.0,13691382.0
2018-03-01,14718012.0,13407922.0,16693858.0,19251956.0,12955319.0,13886758.0,13850934.0,16290917.0,14972168.0,11608504.0,14134380.0,13290080.0,13215910.0,12763790.0,13833585.0
2018-04-01,13999094.0,13013473.0,16038512.0,17869980.0,12497208.0,13411824.0,12966477.0,15554172.0,13944421.0,11445402.0,13387268.0,12744130.0,12840373.0,12531308.0,12883090.0
2018-05-01,12249204.0,11242347.0,14357870.0,14698340.0,10510422.0,11599906.0,11229945.0,13870810.0,11628554.0,10383973.0,11600956.0,11530154.0,11373792.0,11273832.0,10973445.0
2018-06-01,9630160.0,9161370.0,11816332.0,11553122.0,8097208.5,9258620.0,8469058.0,11810667.0,8990855.0,8444324.0,9157430.0,8665216.0,8518006.0,8177541.0,8699337.0
2018-07-01,5956313.0,6466255.0,8718694.0,8065916.0,5661681.0,6739535.0,5482540.0,10019498.0,5549816.0,6135148.5,6714276.0,5361203.0,5355052.5,5230508.0,6170473.0
2018-08-01,3458761.8,4391816.5,6565739.5,5935288.5,3564034.2,4468433.5,2875932.0,8520898.0,2545568.5,4490209.0,4943175.0,3516495.8,3237601.0,2559326.0,4049308.8
2018-09-01,3342407.5,3897296.0,6351138.0,5701885.0,3775459.0,3781312.2,3513809.2,8406150.0,1860084.6,4326823.5,4701789.0,3311060.5,2808264.5,1616978.9,3857744.8
2018-10-01,5052969.0,5673300.0,8246246.5,8005611.0,5623275.0,6056573.0,6427086.0,10312227.0,4116087.0,6203710.0,6267587.5,4874203.0,4561000.5,3243436.5,6602766.0
