time,ACCESS-CM2,ACCESS-ESM1-5,BCC-ESM1,CanESM5,CESM2-WACCM,EC-Earth3-Veg,FGOALS-g3,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM
2015-01-01,13315264.0,12355728.0,15336987.0,12019402.0,12152655.0,13650765.0,15044310.0,12751894.0,11155944.0,11983920.0,12140304.0,12500434.0,13374732.0
2015-02-01,14470060.0,13917018.0,16302878.0,12938223.0,12974646.0,14623430.0,15923439.0,13959594.0,11770380.0,13365918.0,13299714.0,13381084.0,13905806.0
2015-03-01,14956188.0,14244137.0,16576879.0,12934068.0,13257732.0,14683106.0,15957816.0,13867734.0,11973130.0,13670920.0,13508642.0,13646822.0,14021650.0
2015-04-01,14442108.0,13774812.0,16020010.0,12147180.0,12931214.0,14135020.0,15338098.0,13299494.0,11622710.0,12908154.0,12918262.0,13256644.0,13087322.0
2015-05-01,13008892.0,11966782.0,14336190.0,10641890.0,11257302.0,12521051.0,13769164.0,11480149.0,10551998.0,11480300.0,11398028.0,11623077.0,11270784.0
2015-06-01,10455194.0,9445847.0,11195678.0,8540076.0,9231367.0,10105650.0,11784032.0,8619010.0,8537782.0,8594030.0,8521104.0,8708112.0,9262632.0
2015-07-01,7326028.5,7049436.0,7834116.0,5761395.0,6380294.5,7048909.0,9792713.0,4628571.0,5900528.5,4607610.0,5621414.0,5948863.0,6680994.0
2015-08-01,4852588.0,4784462.0,4984955.0,3752277.0,3350437.2,4615890.0,8111089.0,1081180.0,4064156.5,2326370.8,3959592.5,3107744.0,4507941.0
2015-09-01,4904302.0,4004511.8,4919806.5,3586122.5,2471258.2,5374603.0,8017009.0,921021.3,3878334.5,2085177.5,3506469.8,1684445.1,4212527.0
2015-10-01,7433611.5,5708237.0,7567736.0,5626329.0,5168299.0,7968382.5,9826635.0,2242909.5,5975383.0,3931961.2,5387761.0,3749403.5,6147931.0
2015-11-01,9591407.0,8019456.0,10577048.0,8024306.5,8477443.0,10345527.0,11533064.0,6879997.5,8444847.0,7732754.5,8249369.0,7130690.0,9667180.0
2015-12-01,11167694.0,9929168.0,12803774.0,9945928.0,10776021.0,12172456.0,13404791.0,10766048.0,9669550.0,10540614.0,10306788.0,10550682.0,11793990.0
2016-01-01,13342682.0,11961262.0,14999458.0,11890489.0,12332881.0,13694090.0,15311341.0,13252076.0,10937210.0,12427873.0,11862181.0,12236310.0,12817966.0
2016-02-01,14831206.0,13516759.0,16368078.0,13030798.0,13112228.0,14498164.0,15886775.0,14310537.0,11594788.0,13744340.0,13061356.0,13319182.0,13702124.0
2016-03-01,15233550.0,13799700.0,16745390.0,13416950.0,13223766.0,14648008.0,15989159.0,14181682.0,11768131.0,14001758.0,13283305.0,13417075.0,13762262.0
2016-04-01,14677496.0,13521321.0,15632226.0,12771628.0,12741744.0,13964318.0,15173659.0,13244554.0,11466209.0,13401332.0,12905942.0,12591193.0,12536824.0
2016-05-01,13187172.0,11756352.0,14131085.0,11034562.0,11349465.0,11865522.0,13446625.0,11084612.0,10420270.0,11903504.0,11273030.0,11095946.0,10723770.0
2016-06-01,10405754.0,9156095.0,11692858.0,8275689.0,9208899.0,9016978.0,11691166.0,8269030.0,8422115.0,8742100.0,8826765.0,8144366.0,8732464.0
2016-07-01,6996507.5,6659590.0,8809612.0,5440452.0,6442646.0,6337557.0,9685871.0,4984129.0,6247075.5,5221339.5,6149346.0,5182183.0,6504264.0
2016-08-01,4479582.5,4839101.0,6095790.0,3604364.0,3571583.0,4860328.0,7883080.5,1803433.2,4381617.0,3192249.5,4530945.5,2474860.0,4050840.2
2016-09-01,4626178.0,4251399.0,5621575.0,3637823.5,2494833.0,5924856.0,7829510.5,1393092.1,4516607.5,3013230.0,4426138.5,1276734.6,3772510.0
2016-10-01,7321651.0,5196824.0,8731293.0,5379656.0,5253575.5,7469771.0,9588173.0,3545627.0,6621688.0,4948547.0,5845165.0,2807636.5,7172073.5
