time,ACCESS-CM2,ACCESS-ESM1-5,CanESM5,CIESM,CMCC-CM2-SR5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,FGOALS-g3,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM
2015-01-01,13136752.0,11571485.0,12224341.0,9518030.0,7714117.0,12243552.0,12700470.0,14405926.0,15543138.0,12644861.0,12824609.0,10706623.0,11930433.0,12378011.0,12069630.0,12891520.0,13247250.0
2015-02-01,14417739.0,12785068.0,13449927.0,12501328.0,10204600.0,13104162.0,13456573.0,15350143.0,16406459.0,13903953.0,14173858.0,11573622.0,13058770.0,13214900.0,12929879.0,13445102.0,13958223.0
2015-03-01,14536112.0,13214638.0,13446540.0,13069138.0,10682234.0,12943958.0,13615016.0,15530344.0,16038658.0,13896012.0,14432235.0,11902357.0,13231298.0,13285371.0,13128836.0,13439457.0,14063489.0
2015-04-01,14347209.0,12872774.0,12554258.0,12564832.0,9953474.0,12418375.0,12816173.0,14361240.0,14856062.0,13179235.0,13686182.0,11516245.0,12861791.0,12620663.0,12586244.0,12548750.0,13248611.0
2015-05-01,12952623.0,11250247.0,10966998.0,11047892.0,7988752.0,10768958.0,11144594.0,12079193.0,13435879.0,11436452.0,11339450.0,10219230.0,11647433.0,11132972.0,10896864.0,10943252.0,11635009.0
2015-06-01,10651247.0,8966283.0,8640736.0,8672120.0,4268697.5,8023236.0,8380142.0,9931235.0,11769444.0,8550028.0,8159116.5,7915469.5,8984650.0,8581780.0,8256823.0,8884290.0,9521011.0
2015-07-01,7147785.5,6444510.5,5927010.0,4632640.5,29414.326,5302455.5,5360950.0,6363950.5,10078548.0,6280750.5,5313353.0,5641941.0,5738501.5,5452844.0,5335218.0,6621717.0,7045844.0
2015-08-01,4188236.5,4419786.0,4265395.5,456931.66,0.0,3715944.8,3483920.5,2885470.0,8605772.0,4497189.0,2815896.2,3702388.0,3670118.2,3741008.2,2861775.0,4715203.0,5228862.0
2015-09-01,4256010.0,3746967.0,4316865.5,154257.4,0.0,4170184.5,3593613.2,1962434.8,8732221.0,4387519.0,2426211.5,3601496.5,3490070.5,3420109.5,2213268.0,4316993.0,5336094.0
2015-10-01,6598470.0,5206058.5,5845706.0,985908.9,16961.05,6000609.0,5457568.5,5777602.0,10585772.0,6373251.0,3980688.5,5842714.0,5234747.0,4970274.0,3438054.5,7175301.0,7235050.0
