,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,CESM2-WACCM-FV2,MPI-ESM-1-2-HAM,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,AWI-CM-1-1-MR,CESM2-FV2,CESM2,MPI-ESM1-2-LR,NorESM2-LM,NorESM2-MM,IPSL-CM6A-LR
1850-01-15,13.486614,14.36047,14.586742,14.21092,12.754804,13.688188,13.457931,13.86089,14.378301,13.760965,13.547087,14.059256,14.144804,14.193403,15.397087
1850-02-15,13.758346,15.281556,15.705677,14.715774,13.471666,14.102425,14.722664,14.934191,15.574938,14.209129,14.335664,15.00572,14.478759,14.802825,16.78969
1850-03-15,14.195837,15.843057,15.949246,14.64694,13.721946,14.379153,15.128111,15.169263,15.451425,14.611517,14.726431,15.275677,14.366574,14.861143,16.67875
1850-04-15,13.6004925,15.233775,15.219355,14.509631,13.0349245,14.256236,14.53169,14.281004,14.804174,14.280624,14.247328,14.256274,13.946235,14.089251,15.664986
1850-05-15,12.170599,13.534682,13.469323,13.103409,11.743914,12.801426,12.930463,12.515518,12.95934,12.839067,12.705245,12.165003,12.318433,12.506202,13.053457
1850-06-15,9.733544,10.919431,11.072403,10.998866,9.592181,10.560425,10.162614,9.515424,9.815966,10.851495,10.767034,9.701417,10.271858,10.695553,10.577687
1850-07-15,6.653856,7.8528543,8.604803,8.904942,6.8654385,8.331374,7.643952,6.8573146,6.6979795,8.524947,8.107666,7.031912,8.08884,8.477378,8.668905
1850-08-15,4.9800553,5.585011,6.9813843,7.370406,5.2510996,6.733844,5.851065,5.0957627,4.906735,6.913017,6.0557785,5.4387035,6.5547333,6.970702,6.6823936
1850-09-15,4.862172,5.637486,6.6962976,7.067376,5.1375284,6.3043942,5.392928,4.9337506,4.5866356,6.59969,5.5987973,5.234394,6.5898266,6.8805013,6.7129345
1850-10-15,6.5661836,7.6971836,8.518352,8.471028,6.5899076,8.186653,6.590429,6.633332,6.1927514,8.638919,7.2583227,6.88102,8.80419,8.652696,8.7349615
1850-11-15,9.416279,10.307384,10.834139,10.831981,9.18798,10.417559,8.745995,9.17229,8.848554,10.55446,9.974404,9.521745,10.295096,10.887732,11.004379
1850-12-15,11.666917,12.24264,12.659601,12.568752,11.192445,12.151977,11.223712,12.171195,11.078569,12.714372,12.186711,11.024213,12.454512,12.889788,13.581119
1851-01-15,13.428778,14.124278,14.349984,14.115187,12.809702,13.491772,13.472695,14.016281,13.832913,14.121222,13.639161,13.081081,13.968834,13.822759,15.337591
1851-02-15,14.300165,15.234044,15.693527,14.83606,13.956102,14.280045,14.742397,14.82784,15.019807,14.841063,14.141189,14.425755,14.726946,14.430436,16.473373
1851-03-15,14.332541,15.760337,16.384617,15.047223,14.688984,14.240673,15.283947,15.012801,15.478587,15.015249,14.389602,15.061807,14.642196,14.31546,15.895048
1851-04-15,13.640285,15.535575,15.720261,14.641172,14.148547,14.088957,14.625184,14.547967,15.007169,14.662178,14.004866,14.653281,13.962641,13.672578,15.057989
1851-05-15,12.430181,13.977046,13.682009,13.266894,12.268446,12.775038,12.905471,13.004785,13.175831,13.1587925,12.545552,13.0735655,12.215564,12.267433,12.810601
1851-06-15,10.21578,11.15713,11.21575,11.150294,9.738991,10.754252,10.307624,9.66898,9.831682,10.817762,10.488608,10.465437,10.14538,10.421007,9.953999
1851-07-15,7.135086,8.118448,9.035799,8.689726,7.11415,8.6792345,7.752499,6.883753,6.785634,8.846632,7.8188386,7.4668903,8.105062,8.312485,7.504893
1851-08-15,5.1907525,5.5182667,7.745904,6.692662,5.5374637,7.194789,5.6574707,5.135481,5.108974,7.256644,5.3208017,5.9743614,6.444117,6.683648,5.8113875
1851-09-15,4.912487,5.5384965,7.457715,6.4905615,5.323524,7.1075473,5.276522,4.9237847,4.786806,6.940524,4.667019,5.8150864,6.1394114,6.6355166,5.6972814
1851-10-15,6.378224,7.996207,9.246844,8.473544,7.050155,8.755356,6.7341228,6.427189,6.4675884,8.316425,7.330713,7.2799287,8.24112,8.343844,7.5685654
1851-11-15,9.507688,10.598614,10.969627,10.724744,9.16133,10.7821,8.567431,9.331041,9.216694,10.382641,9.873758,9.320088,10.389778,10.870229,10.301249
1851-12-15,11.857975,12.512658,13.187078,12.532251,11.156026,12.2902,11.365934,12.125304,11.417706,12.531157,11.836317,11.563898,12.3814335,12.791025,12.773877
1852-01-15,13.284678,15.037873,14.991581,14.125552,12.935855,13.602306,13.519914,14.07367,14.282225,14.354418,13.240641,13.476722,13.874706,13.911611,14.512134
1852-02-15,14.080043,16.273521,16.209988,14.752544,13.99657,14.278239,15.030062,14.895339,15.609633,15.053135,13.920088,14.912504,14.277187,14.453834,15.996537
1852-03-15,14.363129,16.63382,16.780884,15.007859,14.08792,14.385036,15.183004,15.1294365,15.699382,15.114038,14.29794,15.541066,14.182895,14.358137,16.022259
1852-04-15,13.963663,16.262098,15.907042,14.5553,13.318879,13.920518,14.56513,14.60762,15.274829,14.828555,13.91522,14.625107,13.181125,13.769398,15.115547
1852-05-15,12.603809,14.318832,13.917272,12.888921,11.549321,12.583715,13.044127,12.876206,13.089031,13.427098,12.520767,13.004692,11.826064,12.230876,12.494789
1852-06-15,9.727533,11.212453,11.363081,10.929532,9.371878,10.373175,10.654545,9.700688,9.479037,10.822002,10.287064,10.324726,10.043696,10.422077,9.949848
1852-07-15,6.514387,7.8474083,9.11672,8.883586,6.9299707,8.31025,8.1715975,6.804253,6.3664494,8.792108,7.88984,7.4584966,7.944151,8.358976,7.7062635
1852-08-15,4.8736367,5.752442,7.846252,7.2680387,5.6592865,6.5161915,6.213709,4.632847,4.7436137,7.0398364,5.6534467,6.0957317,6.2111025,6.7243743,6.099406
1852-09-15,4.838759,6.118154,7.7988644,7.1848807,5.456619,6.091007,5.849547,4.4258456,4.660718,6.7470317,5.217307,5.9825907,6.0949593,6.7151423,6.733987
1852-10-15,6.6107287,8.187298,9.232592,8.9312105,6.7996283,7.924758,7.21862,5.7744675,6.2865653,8.33769,7.3514705,7.4208345,8.48743,9.324344,8.171312
1852-11-15,9.744086,10.167815,10.9642935,10.851376,9.220236,10.6565,9.107486,8.94843,9.075738,10.575667,9.544899,9.562388,10.023228,11.165272,10.005154
1852-12-15,11.908317,12.448105,12.752045,12.811187,11.350505,12.239247,11.522757,12.549101,11.687864,12.579574,11.625014,11.911568,11.8860035,12.699122,12.514487
1853-01-15,13.713684,14.68074,14.813232,14.10656,12.86293,13.631639,14.049044,13.852096,13.768941,14.111262,13.3315525,13.084183,13.265477,13.954956,14.061114
1853-02-15,14.673578,16.167751,16.031971,14.549788,13.732461,14.445697,15.145062,14.7179575,14.909612,14.387399,13.961318,14.253343,14.000806,14.447179,15.426046
1853-03-15,15.0314045,16.574753,16.476492,14.556115,14.114778,14.396013,15.389061,14.961316,15.197075,14.719775,13.980855,14.838208,14.026866,14.504059,15.51011
1853-04-15,14.42101,16.09292,16.18447,14.245698,13.484288,14.224962,14.955373,13.898898,14.636402,14.517894,13.605817,14.291613,13.239774,13.865484,14.700426
1853-05-15,12.965732,14.171425,14.407602,12.619269,11.939177,12.86178,13.252043,12.129436,12.922531,12.965811,12.249701,12.319846,11.4473915,12.474054,12.221248
1853-06-15,10.062021,11.152709,11.678127,10.663745,9.7413435,10.814025,10.573472,9.391765,9.376149,10.967941,10.259193,9.641104,9.641378,10.493194,9.662836
1853-07-15,6.571911,7.910907,8.9856205,8.657854,6.71965,8.663285,7.9481754,6.9521813,6.1176605,8.666048,7.9955,7.26711,7.463438,8.489667,7.0280867
1853-08-15,4.5436697,5.5180573,7.7321672,6.949248,4.9646096,7.050344,6.1444974,4.7439556,4.576333,6.8783727,5.692501,5.7070117,5.631644,6.67811,5.3614225
1853-09-15,4.434807,5.4775805,7.756621,6.58268,4.585535,6.9464755,5.516515,4.750719,4.3253193,6.5228357,5.0295663,5.5919385,5.405306,6.6066008,5.8467026
1853-10-15,6.235171,7.2126665,9.487204,8.475666,6.298182,8.702843,6.678623,6.6539373,5.835957,8.313195,7.536949,6.9449377,7.951906,8.796505,7.642892
1853-11-15,9.10162,9.78065,11.256105,10.39123,8.990736,10.447376,8.919588,9.534512,9.041233,10.608718,10.108653,9.203998,10.130837,10.986021,9.95058
1853-12-15,11.685542,12.137579,13.347969,12.247875,11.1307125,12.251971,11.296529,12.157071,11.758659,12.587561,12.094293,11.426508,11.976992,12.764101,11.918874
1854-01-15,13.864444,14.613923,15.170713,13.789437,12.779166,13.831326,13.754803,13.840647,14.625163,14.048353,13.434039,12.964716,13.375798,13.994535,13.728452
1854-02-15,14.738853,16.106937,16.18863,14.624109,13.390875,14.255237,14.872114,14.460391,15.832008,14.714048,14.083066,14.141884,14.10513,14.4705515,15.082328
1854-03-15,14.967477,16.139084,16.496391,14.916303,13.764985,14.343136,15.249973,14.992897,15.778284,14.777626,14.111728,14.634852,14.000123,14.458147,14.971247
1854-04-15,14.362537,15.789024,15.506029,14.508257,13.565198,13.884031,14.645559,14.145421,14.939075,14.346999,13.697243,13.87329,13.503988,13.8528595,13.923334
1854-05-15,12.684696,14.191983,13.649715,13.321974,12.381346,12.423772,13.146138,12.539173,13.142177,12.903253,12.059323,12.218885,11.83737,12.153111,12.16043
1854-06-15,9.296129,11.30974,11.336977,11.469284,10.007877,10.627611,10.480087,9.915431,9.871493,10.845168,9.955474,9.898733,9.957604,10.327616,9.645892
1854-07-15,5.9136887,7.826719,9.119984,9.234751,7.1644306,8.708499,7.8091087,7.5439568,6.373762,8.660665,7.558867,7.140991,7.657588,8.19859,7.1070704
1854-08-15,3.9065137,5.0975103,7.950342,7.375347,5.633657,6.860232,5.8059373,5.4451776,4.4455338,7.0697227,5.3358183,5.597974,5.751201,6.4068456,5.3229275
1854-09-15,3.7545419,5.117271,7.8183675,6.920329,5.5915337,6.6991296,5.4349,5.1868577,4.2375317,6.7456317,4.844361,5.358508,5.6312966,5.9919314,5.558576
1854-10-15,5.793613,7.103922,9.410379,8.60572,7.385279,8.673158,7.4681053,7.6755114,5.61395,8.5116005,6.5636888,6.419523,7.9915557,8.169008,7.630932
1854-11-15,9.273394,10.13339,11.150965,10.570022,9.706038,10.426123,9.186842,10.135899,8.42895,10.929347,9.58737,9.384879,10.2812395,11.105209,9.821756
1854-12-15,11.725447,12.445288,13.433832,12.619553,11.719193,12.316937,11.142469,12.128421,11.150512,13.238452,11.67019,11.575655,12.527137,12.559424,12.1465435
1855-01-15,13.497849,14.5213,15.079651,13.727822,13.270859,13.671455,13.775208,13.959555,13.97063,14.263584,13.055745,13.013331,13.622625,13.756306,13.982305
1855-02-15,14.237066,15.973804,16.010748,14.223956,14.214509,14.235613,14.97903,14.854124,15.376779,14.735875,13.851352,13.625416,14.106144,14.057756,15.319242
1855-03-15,14.178979,16.38675,16.373665,14.33646,14.79049,14.300571,15.101728,14.988321,15.177599,14.75471,14.126865,13.928291,14.062409,14.046586,15.764864
1855-04-15,13.510193,16.089926,15.756793,13.989791,13.994877,14.007834,14.483247,14.400556,14.659116,14.453594,13.823677,13.394314,13.2362385,13.629748,14.413883
1855-05-15,12.120314,14.327748,13.752076,12.628183,12.413728,12.556523,12.592561,12.829995,12.794036,12.977975,12.099105,12.098657,11.651169,11.918034,12.144768
1855-06-15,9.870744,11.400727,11.38719,10.762816,10.244318,10.714953,9.957765,9.948347,9.843538,11.059002,10.053739,9.677672,9.917663,10.034466,9.585517
1855-07-15,6.6816726,8.257428,9.218048,8.819297,7.7516446,8.687677,7.6590357,6.8441796,6.5811195,8.82806,7.469439,6.834458,7.7968965,8.260303,7.507662
1855-08-15,4.84168,5.7238474,7.8406677,7.15279,6.2277207,6.8674827,5.886004,4.8766356,4.6235113,6.871747,5.2123246,5.287537,5.8520675,6.6454897,6.024246
1855-09-15,4.892595,5.5199385,7.7125483,6.7593956,5.9835806,6.276718,5.2782526,4.8828053,4.266414,6.5764956,4.8496337,5.0896716,5.4951234,6.53926,6.3972983
1855-10-15,6.864174,7.705377,9.687214,8.336957,7.4933114,7.8956866,6.3452134,6.696926,6.1407285,9.042264,7.6342583,6.653468,7.993277,8.984744,7.911997
