,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-MM,IPSL-CM6A-LR
2015-01-15,13.184459,14.120277,12.708991,11.617716,12.117385,12.839273,12.0698,13.142847,13.295839,12.891386
2015-02-15,14.467339,15.093279,13.574465,12.834422,12.97523,13.411846,12.90806,14.051191,14.001905,14.227772
2015-03-15,14.593975,15.861762,13.840609,13.271381,13.174067,13.637826,12.983154,14.257176,14.11173,14.491024
2015-04-15,14.407735,15.609098,13.521174,12.9337635,12.6368475,13.262925,12.314303,13.064627,13.312252,13.737044
2015-05-15,13.022176,13.693647,11.950948,11.332259,10.9731655,11.481054,10.838826,11.127853,11.701068,11.401874
2015-06-15,10.747173,11.087876,9.721591,9.070978,8.356089,8.836464,8.340957,8.925954,9.591568,8.24107
2015-07-15,7.283293,8.455005,6.3693714,6.587877,5.4864345,5.9562674,5.3232183,6.677801,7.188937,5.3876677
2015-08-15,4.3710556,6.850264,3.4061313,4.544571,3.0114985,2.5543094,3.598677,5.294049,5.3795896,2.8913758
2015-09-15,4.40659,6.643649,2.7845607,3.8579433,2.312501,1.3208497,3.296126,4.9628263,5.437333,2.4835317
2015-10-15,6.6599236,8.415093,5.489673,5.255353,3.4996982,4.0243144,4.835537,6.1290326,7.3139925,4.027189
2015-11-15,9.580436,10.595195,8.879096,7.144989,5.9703016,8.163142,7.422019,8.7148285,10.008133,5.701714
2015-12-15,11.6297,12.539473,11.148583,10.233852,9.866984,10.313077,9.731847,11.134848,12.3338585,9.320161
2016-01-15,13.347194,14.550698,12.900924,12.151741,11.793486,12.381364,11.475675,12.9649935,13.750092,12.588582
2016-02-15,14.294089,15.879204,13.408105,13.111343,12.463212,13.311899,12.435172,14.093946,14.188896,14.056933
2016-03-15,14.562859,16.35621,13.667733,13.3858595,12.905143,13.388284,12.556698,14.417344,14.243026,14.141077
2016-04-15,14.090919,15.349249,13.264287,12.874758,12.519661,13.045044,11.957671,13.571104,13.633075,13.31855
2016-05-15,12.579711,13.318016,11.740308,11.032282,11.014017,11.158568,10.669645,11.632355,11.568337,10.907063
2016-06-15,10.176738,10.95438,9.454198,8.770145,7.7383432,8.747212,8.077362,9.340469,9.694733,7.9355273
2016-07-15,7.1278033,8.418286,6.856027,6.138532,4.78759,5.778638,5.592482,7.113952,7.455175,4.52133
2016-08-15,4.6177783,6.8072743,4.2030563,3.7021017,2.4830787,2.8441195,3.8015368,5.4044213,5.5467114,1.5406735
2016-09-15,4.8799305,6.6711273,3.102661,3.1667125,2.00754,1.8575168,3.4812996,5.12378,5.067221,1.6806216
2016-10-15,7.0092072,8.305929,5.677307,4.5463567,3.0154572,3.7831018,5.4418335,6.895854,7.4138136,4.5302677
2016-11-15,9.422873,10.21109,8.943984,6.7550445,5.047508,7.5598183,7.564262,9.305265,10.215252,7.3750825
