,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,CESM2-WACCM-FV2,MPI-ESM-1-2-HAM,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,AWI-CM-1-1-MR,CESM2-FV2,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-LM,NorESM2-MM,IPSL-CM6A-LR
1850-01-15,14.524994,15.400951,16.555944,14.800295,13.759284,14.373685,14.901051,14.435524,15.848625,14.464868,14.36174,15.367842,16.584423,14.09959,14.148132,16.124708
1850-02-15,15.057966,16.383898,17.993713,15.304046,14.711484,14.819675,15.802239,15.492135,17.196268,14.896288,15.0535345,16.44919,17.948383,14.428174,14.753365,17.646687
1850-03-15,15.522406,17.105118,18.55846,15.387679,15.301144,15.2257395,16.476192,15.889923,17.14865,15.399905,15.573739,16.917143,19.090279,14.314548,14.805148,17.59533
1850-04-15,15.14609,16.801937,18.207396,15.451011,14.589539,15.264583,16.14402,15.126458,16.392406,15.327523,15.279046,16.015171,18.50925,13.89515,14.015628,16.752907
1850-05-15,13.729387,15.766763,16.393532,14.638363,13.233748,14.512105,15.310038,13.832352,14.70808,14.551849,14.347973,13.972161,16.09663,12.263137,12.435895,14.313114
1850-06-15,11.691986,13.222713,13.919706,12.794264,11.383313,12.589458,13.327413,11.717315,11.702624,12.914488,12.749128,11.72097,13.374386,10.199754,10.62745,12.158464
1850-07-15,8.958784,10.659947,11.0174675,10.554864,8.830965,11.020106,10.113587,9.109551,8.7370825,10.737557,10.46692,9.471777,10.990667,7.9693933,8.348596,10.561819
1850-08-15,7.2421308,8.155228,8.605551,9.164129,7.544117,9.153994,7.850359,7.2856083,7.3441586,9.030472,8.0422735,8.067208,8.402084,6.450364,6.866777,8.443036
1850-09-15,6.931667,7.1242447,8.108042,8.6099205,7.4104776,8.576957,6.708025,6.2003794,6.9370356,8.187983,6.8864546,7.666921,7.706031,6.5238633,6.78451,7.622627
1850-10-15,8.147691,8.958847,10.260231,9.531274,8.3495655,9.345299,7.434063,7.397095,7.888159,9.549302,8.295012,8.759417,9.637302,8.767949,8.583997,9.210293
1850-11-15,10.576307,11.095143,12.590977,11.637453,10.156693,11.011623,9.994569,9.755679,9.866611,11.319523,10.952489,10.470877,12.100857,10.253238,10.835263,11.536955
1850-12-15,12.771038,13.49106,14.480718,13.405175,12.225862,13.042205,12.48353,12.766553,12.304707,13.695528,13.307421,11.990128,14.620506,12.415656,12.843973,14.227608
