,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-LM,NorESM2-MM,IPSL-CM6A-LR
2015-01-15,12.789171,14.268513,15.916616,13.500623,12.760018,12.78093,13.638623,13.275437,14.925991,12.89152,13.24725,13.64835
2015-02-15,13.921587,15.485116,17.320023,14.209235,13.789648,13.59677,14.098115,14.181568,16.14613,13.445102,13.958223,15.029686
2015-03-15,14.183046,15.712774,18.417587,14.565126,14.305043,13.811734,14.420953,14.334653,16.592552,13.439457,14.063489,15.348416
2015-04-15,13.861711,15.647352,18.472666,14.488211,14.257958,13.413544,14.379373,13.5513525,15.894596,12.54875,13.248611,14.709952
2015-05-15,12.687566,14.780701,16.883186,13.624412,13.333877,12.08498,13.638932,12.196349,13.967101,10.943253,11.63501,12.803818
2015-06-15,10.596141,13.045409,13.902515,12.180438,11.4613905,10.439277,10.850078,10.243187,11.443595,8.884291,9.52101,9.881876
2015-07-15,7.9334307,10.704031,10.99464,9.402017,8.61609,7.60581,8.267984,7.3478847,8.625524,6.621717,7.045844,6.7261734
2015-08-15,6.111261,7.2276535,8.844547,5.9960895,6.9477477,4.70547,5.259426,5.698963,6.7214556,4.7152033,5.228862,4.3985786
2015-09-15,5.705716,6.057248,8.309977,4.4239287,5.547186,3.6397452,2.4821818,5.1145964,6.1596656,4.3169928,5.336094,3.3168423
2015-10-15,6.768102,8.025013,10.231306,7.1618114,6.00916,4.1010303,5.9978714,6.2856913,7.777475,7.175301,7.23505,4.430447
2015-11-15,8.963698,10.643838,12.184347,10.090695,8.400024,6.682958,9.182728,8.580155,10.519695,9.638022,9.967498,6.157219
2015-12-15,10.959972,12.723256,14.582524,12.209942,11.301196,10.529146,11.151648,10.672405,12.910337,11.52728,12.293875,10.072499
2016-01-15,13.010887,14.236568,16.693111,13.602719,13.206458,12.421238,13.172076,12.509497,14.948025,12.9590435,13.7106,13.320202
2016-02-15,13.859863,15.210275,18.281221,14.1510315,14.092433,13.169226,13.997726,13.622495,16.426657,13.703951,14.137957,14.933505
2016-03-15,13.874178,15.546393,19.064661,14.392976,14.477701,13.571447,14.158819,13.8322525,16.895527,13.463055,14.196133,15.047081
2016-04-15,13.743678,15.320278,18.574005,14.21125,14.424969,13.302086,14.083965,13.224243,16.41351,12.463567,13.585477,14.255455
